RegionName,StateAbbrev,2019,2022,PercentageVariation
Centro Oeste,DF,338.0,346.0,2.366863905325444
Centro Oeste,GO,1469.0,1729.0,17.699115044247787
Centro Oeste,MS,628.0,671.0,6.8471337579617835
Centro Oeste,MT,1019.0,1220.0,19.7252208047105
Nordeste,AL,607.0,577.0,-4.942339373970346
Nordeste,BA,2310.0,2474.0,7.0995670995671
Nordeste,CE,1355.0,1402.0,3.4686346863468636
Nordeste,MA,1268.0,1339.0,5.599369085173501
Nordeste,PB,772.0,847.0,9.71502590673575
Nordeste,PE,1498.0,1469.0,-1.9359145527369825
Nordeste,PI,917.0,918.0,0.10905125408942204
Nordeste,RN,451.0,392.0,-13.082039911308204
Nordeste,SE,398.0,406.0,2.0100502512562812
Norte,AC,112.0,103.0,-8.035714285714286
Norte,AM,398.0,438.0,10.050251256281408
Norte,AP,84.0,105.0,25.0
Norte,PA,1362.0,1609.0,18.13509544787078
Norte,RO,379.0,475.0,25.32981530343008
Norte,RR,123.0,157.0,27.64227642276423
Norte,TO,472.0,549.0,16.3135593220339
Sudeste,ES,757.0,822.0,8.58652575957728
Sudeste,MG,3227.0,3170.0,-1.7663464518128293
Sudeste,RJ,1513.0,1931.0,27.62723066754792
Sudeste,SP,4995.0,4847.0,-2.9629629629629632
Sul,PR,2422.0,2718.0,12.22130470685384
Sul,RS,1637.0,1759.0,7.452657299938912
Sul,SC,1434.0,1421.0,-0.906555090655509
