Year,TotalDeaths,Location,LocationId,Population,DeathRatio100k
2000,28995.0,Brazil,0,173765726.0,16.686259521627413
2001,30524.0,Brazil,0,176208646.0,17.322646018175522
2002,32753.0,Brazil,0,178499255.0,18.349096190905673
2003,33139.0,Brazil,0,180708344.0,18.338389510115814
2004,35105.0,Brazil,0,182865043.0,19.197217480215723
2005,35994.0,Brazil,0,184991143.0,19.457147740311008
2006,36367.0,Brazil,0,187061610.0,19.44118838707739
2007,37407.0,Brazil,0,189038268.0,19.78805688168916
2008,38273.0,Brazil,0,191010274.0,20.037142085875445
2009,37594.0,Brazil,0,192980905.0,19.48068385315117
2010,42844.0,Brazil,0,194890682.0,21.983606173639433
2011,43256.0,Brazil,0,196603732.0,22.001616937770034
2012,44812.0,Brazil,0,198314934.0,22.596381974944965
2013,42266.0,Brazil,0,200004188.0,21.13255748424628
2014,43780.0,Brazil,0,201717541.0,21.703615750501342
2015,38651.0,Brazil,0,203475683.0,18.995390225573047
2016,37345.0,Brazil,0,205156587.0,18.203168879973617
2017,35375.0,Brazil,0,206804741.0,17.10550726687644
2018,32655.0,Brazil,0,208494900.0,15.662253609081086
2019,31945.0,Brazil,0,210147125.0,15.201254835154181
2020,32716.0,Brazil,0,211755692.0,15.449879854941514
2021,33813.0,Brazil,0,213317639.0,15.851009864214745
2022,33894.0,Brazil,0,216283682.0,15.671085163049888
