StateAbbrev,RegionName,2019,2022
DF,Centro Oeste,11.209617188256567,10.888741607644024
GO,Centro Oeste,20.930833639910443,23.66345934866773
MS,Centro Oeste,22.598170699672472,23.24993156689293
MT,Centro Oeste,29.244079293642127,33.50511570936784
AL,Nordeste,18.188045210626253,16.844241561020382
BA,Nordeste,15.531433200314341,16.35063588376377
CE,Nordeste,14.837805809367813,14.888485561726524
MA,Nordeste,17.921802989916443,18.267907665617887
PB,Nordeste,19.212931796331976,20.640503832992735
PE,Nordeste,15.674258358026218,14.96801440271458
PI,Nordeste,28.015166684131593,27.42478573265853
RN,Nordeste,12.86053336139268,10.824943541844206
SE,Nordeste,17.314164204401102,17.058336148378956
AC,Norte,12.699348591449484,10.999866506474437
AM,Norte,9.602863680111723,10.069389126025301
AP,Norte,9.932236136549328,11.604261526899784
PA,Norte,15.83193505884377,17.84824488191317
RO,Norte,21.325380860611347,25.929518655333375
RR,Norte,20.305037795434174,24.834973970732694
TO,Norte,30.0089136646097,33.49574805340284
ES,Sudeste,18.837171687009317,19.83844458871429
MG,Sudeste,15.244139355903698,14.656607025064323
RJ,Sudeste,8.763423082254022,10.899053374035926
SP,Sudeste,10.877838519695825,10.253657765524254
PR,Sul,21.182518003172483,23.25771637634168
RS,Sul,14.388376652718643,15.261191077400179
SC,Sul,20.014548930128846,19.147374552694558
